Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;note_spectator_word;nomi
Meurtres sans ordonnance;Policier;Drame;Tobias Lindholm;Jessica Chastain;Eddie Redmayne;Kim Dickens;;3.7;Krysty Wilson-Cairns;U.S.A.;;Anglais;4.0;6.0;5.0;121;26;octobre;2022;good;2
Mindcage;Policier;Thriller;Mauro Borrelli;Martin Lawrence;Melissa Roxburgh;John Malkovich;;2.2;Reggie Keyohara;U.S.A.;;Anglais;0.0;1.0;0.0;96;17;mai;2023;soso;0
Miroir, miroir;Comédie;Comédie dramatique;Marc Crehuet;Malena Alterio;Santi Millán;Natalia de Molina;;2.4;Marc Crehuet;Espagne;;Espagnol;0.0;0.0;0.0;79;16;septembre;2022;soso;0
Mission Spitfire;Action;Drame;Callum Burn;Archie Blankley;Callum Burn;David Dobson;;1.5;Callum Burn;Grande-Bretagne;;Anglais;0.0;0.0;0.0;75;27;juillet;2022;bad;0
Mobile Suit Gundam - Cucuruz Doan's Island;Animation;Fantastique;Yoshikazu Yasuhiko;Torû Furuya;Ken Narita;Satomi Arai;;3.0;Toshizo Nemoto;Japon;Crunchyroll;Japonais;0.0;0.0;0.0;109;6;janvier;2023;soso;0
Moi, apprivoisée ?;Comédie;Drame;Anna Wieczur-Bluszcz;Magdalena Lamparska;Mikolaj Roznerski;Piotr Cyrwus;;2.1;Anna Wieczur-Bluszcz;Pologne;;Polonais;0.0;0.0;0.0;112;13;avril;2022;soso;0
Molly Johnson;Drame;Historique;Leah Purcell;Leah Purcell;Rob Collins;Sam Reid;;3.2;Leah Purcell;Australie;;Anglais;0.0;0.0;0.0;108;1;février;2023;good;0
Mon héroïne;Comédie;;Noémie Lefort;Chloé Jouannet;Pascale Arbillot;Louise Coldefy;3,1;3.1;Noémie Lefort;France;Universal Pictures International France;Français;0.0;1.0;2.0;108;14;décembre;2022;good;0
Moonfall;Action;Science Fiction;Roland Emmerich;Halle Berry;Patrick Wilson;John Bradley (II);2,3;2.1;Roland Emmerich;U.S.A.;Metropolitan FilmExport;Anglais;7.0;4.0;2.0;120;9;février;2022;soso;0
Monica, O My Darling;Bollywood;Comédie;Vasan Bala;Rajkummar Rao;Huma Qureshi;Sikandar Kher;;3.0;;Inde;;Hindi;7.0;0.0;0.0;129;11;novembre;2022;soso;0
Moonshot;Comédie;Romance;Christopher Winterbauer;Cole Sprouse;Lana Condor;Mason Gooding;;2.4;Max Taxe;U.S.A.;;Anglais;0.0;0.0;0.0;105;12;mai;2022;soso;0
Monster High;Aventure;Comédie;Todd Holland;Miia Harris;Ceci Balagot;Nayah Damasen;;2.2;Jenny Jaffe;U.S.A.;;Anglais;0.0;0.0;0.0;80;11;février;2023;soso;0
Monstrous;Epouvante-horreur;Thriller;Chris Sivertson;Christina Ricci;Santino Barnard;Don Baldaramos;;1.9;Carol Chrest;U.S.A.;Metropolitan FilmExport;Anglais;1.0;4.0;0.0;88;7;avril;2023;bad;0
Morbius;Action;Aventure;Daniel Espinosa;Jared Leto;Matt Smith (XI);Adria Arjona;2,3;2.3;Burk Sharpless;U.S.A.;Sony Pictures Releasing France;Anglais;2.0;4.0;1.0;105;30;mars;2022;soso;5
Mort sur le Nil;Policier;Thriller;Kenneth Branagh;Kenneth Branagh;Gal Gadot;Emma Mackey;3,0;3.1;Michael Green;U.S.A.;The Walt Disney Company France;Anglais;3.0;3.0;0.0;127;9;février;2022;good;0
Mourir à Ibiza (Un film en trois étés);Comédie dramatique;Romance;Anton Balekdjian;Lucile Balézeaux;César Simonot;Mathis Sonzogni;3,7;3.4;;France;Shellac;Français;1.0;0.0;0.0;107;7;décembre;2022;good;0
Mr et Mme Toutlemonde;Comédie;;Jean-Michel Noirey;Blandine Mouret;Erika Regimbeau;Pascale Maupin;;3.3;Jean-Michel Noirey;France;Aviva Film;Français;0.0;0.0;0.0;76;20;juillet;2022;good;0
Murder at Yellowstone City;Western;;Richard Gray;Isaiah Mustafa;Zach McGowan;Thomas Jane;;2.3;Eric Belgau;U.S.A.;Canal +;Anglais;0.0;0.0;0.0;126;29;décembre;2022;soso;0
Music Hole;Comédie;;Gaëtan Liekens;Wim Willaert;Vanessa Guide;Laurence Oltuski;3,9;3.2;David Mutzenmacher;Belgique;Paramax Films;Français;0.0;1.0;0.0;82;6;juillet;2022;good;0
My Best Friend's Exorcism;Comédie;Epouvante-horreur;Damon Thomas;Elsie Fisher;Amiah Miller;Chris Lowell;;1.8;Jenna Lamia;U.S.A.;;Anglais;1.0;1.0;0.0;97;30;septembre;2022;bad;0
My Fake Boyfriend;Comédie;Romance;Rose Troche;Keiynan Lonsdale;Dylan Sprouse;Sarah Hyland;;1.7;Luke Albright;Canada;;Anglais;1.0;0.0;0.0;90;24;juin;2022;bad;0
My Name Is Vendetta;Action;Policier;Cosimo Gomez;Alessandro Gassman;Remo Girone;Ginevra Francesconi;;2.6;Cosimo Gomez;Italie;;Italien;0.0;0.0;0.0;90;30;novembre;2022;soso;0
My Policeman;Drame;Romance;Michael Grandage;Emma Corrin;Harry Styles;David Dawson;;3.9;Ron Nyswaner;Grande-Bretagne;;Anglais;7.0;1.0;0.0;113;4;novembre;2022;good;0
N'oublie pas les fleurs;Drame;;Genki Kawamura;Masaki Suda;Mieko Harada;Masami Nagasawa;3,3;3.2;Genki Kawamura;Japon;Eurozoom;Japonais;2.0;0.0;0.0;104;1;mars;2023;good;0
Naai Sekar Returns;Bollywood;Comédie;Suraj;Vadivelu 'Vaigai Puyal';Redin Kingsley;Munishkanth;;2.9;Suraj;Inde;Night ed films;Tamoul;0.0;0.0;0.0;150;9;décembre;2022;soso;0
Naane Varuvean;Action;Aventure;K. Selvaraghavan;V Dhanush;Elli AvrRam;Yogi Babu;;3.4;;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;125;29;septembre;2022;good;0
Nanny;Drame;Epouvante-horreur;Nikyatu Jusu;Anna Diop;Michelle Monaghan;Sinqua Walls;;1.7;Nikyatu Jusu;U.S.A.;;Anglais;0.0;0.0;3.0;98;16;décembre;2022;bad;0
Narvik;Drame;Historique;Erik Skjoldbjaerg;Kristine Hartgen;Henrik Mestad;Stig Henrik Hoff;;3.1;Christopher Grøndahl;Norvège;;Norvégien;11.0;0.0;0.0;108;23;janvier;2023;good;0
Nayola;Animation;Drame;José Miguel Ribeiro;Ciomara Morais;Angelo Torres;;3,9;3.9;José Eduardo Agualusa;Portugal;Urban Distribution;Portugais;3.0;0.0;0.0;83;8;mars;2023;good;1
Ne dis rien;Epouvante-horreur;Thriller;Christian Tafdrup;Morten Burian;Sidsel Siem Koch;Fedja Van Huet;;2.9;Christian Tafdrup;Danemark;Swift Distribution;Néerlandais;0.0;0.0;0.0;97;15;septembre;2022;soso;0
Neige;Policier;Thriller;Laurent Tuel;Frédéric Diefenthal;Murielle Huet des Aunay;Marie Bouvet;;1.7;Charlotte Canot;France;France 2;Français;1.0;1.0;0.0;90;6;mars;2023;bad;0
Neneh Superstar;Comédie;Comédie dramatique;Ramzi Ben Sliman;Oumy Bruni Garrel;Maïwenn;Aïssa Maïga;2,9;2.4;Ramzi Ben Sliman;France;Gaumont Distribution;Français;0.0;0.0;13.0;98;25;janvier;2023;soso;0
Nightride;Thriller;;Stephen Fingleton;Moe Dunford;Joana Ribeiro;Gerard Jordan;;2.1;Ben Conway;Grande-Bretagne;;Anglais;1.0;0.0;0.0;98;27;juillet;2022;soso;0
Noël grâce à elle;Comédie;;Pedro Antonio;Gkay;Sérgio Malheiros;Vera Fischer;;1.9;Carolina Garcia;Brésil;;Portugais;0.0;0.0;0.0;104;30;novembre;2022;bad;0
Noël tombe à pic;Comédie;Romance;Janeen Damian;Lindsay Lohan;Chord Overstreet;George Young;;2.1;Jeff Bonnett;U.S.A.;;Anglais;0.0;4.0;0.0;93;10;novembre;2022;soso;0
Noémie dit oui;Drame;;Geneviève Albert;Kelly Depeault;James-Edward Métayer;Emi Chicoine;2,9;3.4;Geneviève Albert;;Wayna Pitch;Français;0.0;0.0;0.0;116;26;avril;2023;good;8
Nope;Epouvante-horreur;Science Fiction;Jordan Peele;Daniel Kaluuya;Keke Palmer;Steven Yeun;4,1;3.1;Jordan Peele;U.S.A.;Universal Pictures International France;Anglais;1.0;3.0;0.0;130;10;août;2022;good;0
Normale;Comédie;Comédie dramatique;Olivier Babinet;Benoît Poelvoorde;Justine Lacroix;Joseph Rozé;3,6;3.3;Olivier Babinet;France;Haut et Court;Français;1.0;4.0;0.0;87;5;avril;2023;good;0
Nos cœurs meurtris;Drame;Romance;Elizabeth Allen Rosenbaum;Nicholas Galitzine;Sofia Carson;Chosen Jacobs;;3.9;Liz W. Garcia;U.S.A.;;Anglais;0.0;0.0;0.0;122;29;juillet;2022;good;0
Nos frangins;Biopic;Drame;Rachid Bouchareb;Reda Kateb;Lyna Khoudri;Raphaël Personnaz;3,4;3.0;Kaouther Adimi;France;Le Pacte;Français;5.0;2.0;3.0;92;7;décembre;2022;soso;2
Nos soleils;Drame;;Carla Simón;Jordi Pujol Dolcet;Anna Otín;Xenia Roset;3,9;3.6;Carla Simón;Espagne;Pyramide Distribution;Espagnol;0.0;0.0;0.0;120;18;janvier;2023;good;9
Nostalgia;Drame;Thriller;Mario Martone;Pierfrancesco Favino;Francesco Di Leva;Tommaso Ragno;3,6;3.8;Mario Martone;Italie;ARP Sélection;Italien;2.0;2.0;0.0;118;4;janvier;2023;good;7
Notte fantasma;Drame;;Fulvio Risuleo;Edoardo Pesce;Yothin Clavenzani;;;3.3;Fulvio Risuleo;Italie;;Italien;2.0;0.0;0.0;83;11;mai;2023;good;1
Notre histoire (Jean, Stacy et les autres);Drame;;Vincent Dietschy;Anastasia Robin;Olivier Martinaud;Maïlys Favraud;;3.0;Vincent Dietschy;France;DHR distribution / A Vif Cinemas;Français;1.0;0.0;0.0;123;20;novembre;2022;soso;0
Notre Noël à la Ferme;Comédie;Famille;Debbie Isitt;Scott Garnham;Ashley Jensen;Celia Imrie;;2.0;Debbie Isitt;Grande-Bretagne;;Anglais;1.0;0.0;2.0;102;23;novembre;2022;bad;0
Notre-Dame brûle;Drame;;Jean-Jacques Annaud;Samuel Labarthe;Jean-Paul Bordes;Mikaël Chirinian;3,5;3.8;Jean-Jacques Annaud;France;Pathé;Français;5.0;0.0;0.0;110;16;mars;2022;good;0
Novembre;Policier;Thriller;Cédric Jimenez;Jean Dujardin;Anaïs Demoustier;Sandrine Kiberlain;3,5;4.1;Olivier Demangel;France;StudioCanal;Français;6.0;15.0;5.0;107;5;octobre;2022;excellent;7
Offseason;Drame;Fantastique;Mickey Keating;Jocelin Donahue;Joe Swanberg;Richard Brake;;1.9;Mickey Keating;U.S.A.;;Anglais;0.0;0.0;8.0;83;9;août;2022;bad;0
Old People;Drame;Epouvante-horreur;Andy Fetscher;Louie Betton;Paul Faßnacht;Melika Foroutan;;2.0;Andy Fetscher;Allemagne;;Allemand;5.0;0.0;0.0;100;7;octobre;2022;bad;0
OMG! Oh My Girl;Comédie;Drame;Thitipong Kerdtongtawee;Wongravee Nateetorn;Plearnpichaya Komalarajun;Pachara Chirathivat;;3.0;;Thaïlande;;Thaï;0.0;0.0;0.0;124;24;février;2023;soso;0
On se connaît… ou pas;Comédie;Drame;Wissam Smayra;Nadine Labaki;Mona Zaki;Eyad Nassar;;2.9;;Liban;;Arabe;0.0;5.0;0.0;99;20;janvier;2022;soso;0
On The Line;Thriller;;Romuald Boulanger;Mel Gibson;William Moseley;Alia Seror-O'Neill;;2.3;Romuald Boulanger;U.S.A.;;Anglais;0.0;5.0;1.0;104;12;janvier;2023;soso;0
Once in the Desert;Guerre;;Andrey Kravchuk;Sergey Borodinov;Pavel Chinaryov;Igor Gordin;;3.1;Arif Aliev;Russie;;Arabe;0.0;0.0;0.0;117;25;août;2022;good;0
One Piece Film - Red;Aventure;Animation;Goro Taniguchi;Marie Braam;Kaori Nazuka;Stephane Excoffier;3,0;2.8;Tsutomu Kuroiwa;Japon;Pathé;Japonais;0.0;0.0;0.0;115;10;août;2022;soso;0
One Way;Action;Thriller;Andrew Baird;Kevin Bacon;Travis Fimmel;Machine Gun Kelly;;2.3;Ben Conway;U.S.A.;;Anglais;0.0;2.0;0.0;95;10;novembre;2022;soso;0
Operation Fortune: Ruse De Guerre;Action;Comédie;Guy Ritchie;Jason Statham;Aubrey Plaza;Cary Elwes;2,8;2.7;Ivan Atkinson;U.S.A.;;Anglais;1.0;1.0;1.0;114;7;avril;2023;soso;0
Orso;Drame;;Bruno Mercier;Anthony Moudir;Juliette Dutent;;;2.6;Bruno Mercier;France;Les Mûres sauvages;Français;0.0;0.0;0.0;118;10;mai;2023;soso;0
Overdose;Action;Thriller;Olivier Marchal;Sofia Essaïdi;Assaad Bouab;Alberto Ammann;2,2;2.4;Olivier Marchal;France;;Français;3.0;0.0;0.0;119;4;novembre;2022;soso;0
Pacifiction - Tourment sur les îles;Drame;Espionnage;Albert Serra;Benoît Magimel;Pahoa Mahagafanau;Marc Susini;4,0;2.7;Albert Serra;France;Les Films du Losange;Français;2.0;2.0;0.0;165;9;novembre;2022;soso;20
Palm Trees and Power Lines;Drame;;Jamie Dack;Lily McInerny;Gretchen Mol;Jonathan Tucker;;3.4;Jamie Dack;U.S.A.;;Anglais;0.0;0.0;1.0;110;26;avril;2023;good;5
Panama;Action;Thriller;Mark Neveldine;Cole Hauser;Mel Gibson;Mauricio Hénao;;1.7;Daniel Adams;U.S.A.;;Anglais;1.0;0.0;5.0;95;30;mars;2023;bad;0
Par-delà l'univers;Drame;Romance;Diego Freitas;Giulia Be;Henry Zaga;João Miguel;;3.3;Diego Freitas;Brésil;;Portugais;0.0;0.0;0.0;126;27;octobre;2022;good;0
Paradise City;Action;Thriller;Chuck Russell;Bruce Willis;John Travolta;Stephen Dorff;;1.7;Corey Large;Canada;;Anglais;1.0;1.0;4.0;92;5;avril;2023;bad;0
Parée pour percer;Comédie;Drame;Sanaa Lathan;Jamila C. Gray;Method Man;Mike Epps;;2.5;Kay Oyegun;U.S.A.;;Anglais;0.0;0.0;0.0;116;11;février;2023;soso;0
Pas moyen de s'entendre !;Comédie;;Roberto Santucci;Leandro Hassum;Maurício Manfrini;Júlia Rabello;;2.0;Paulo Cursino;Brésil;;Portugais;0.0;0.0;0.0;110;1;septembre;2022;bad;0
Pas trop tôt;Comédie dramatique;;Alessandro Aronadio;Edoardo Leo;Barbara Ronchi;Francesca Cavallin;;2.9;Alessandro Aronadio;Italie;;Italien;0.0;0.0;0.0;109;16;mars;2023;soso;0
Pattathu Arasan;Action;Drame;A. Sarkunam;Atharvaa Murali;Rajkiran;Ashika Ranganath;;3.0;A. Sarkunam;Inde;Night ed films;Tamoul;0.0;0.0;0.0;150;25;novembre;2022;soso;0
Père Stu : un héros pas comme les autres;Biopic;Drame;Rosalind Ross;Mark Wahlberg;Mel Gibson;Jacki Weaver;;3.6;Rosalind Ross;U.S.A.;;Anglais;0.0;11.0;5.0;124;29;août;2022;good;1
Persuasion;Drame;Romance;Carrie Cracknell;Dakota Johnson;Cosmo Jarvis;Richard E. Grant;;2.2;Ron Bass;U.S.A.;;Anglais;0.0;2.0;0.0;107;15;juillet;2022;soso;0
Petaouchnok;Comédie;;Edouard Deluc;Pio Marmaï;Philippe Rebbot;Camille Chamoux;3,0;2.2;Edouard Deluc;France;Apollo Films;Français;1.0;1.0;5.0;96;9;novembre;2022;soso;2
Peter von Kant;Comédie;Comédie dramatique;François Ozon;Denis Ménochet;Isabelle Adjani;Khalil Gharbia;3,6;2.8;François Ozon;France;Diaphana Distribution;Français;7.0;1.0;11.0;86;6;juillet;2022;soso;4
Petit Mal;Comédie dramatique;Romance;Ruth Caudeli;Silvia Varón;Ruth Caudeli;;;2.5;Ruth Caudeli;Colombie;;Espagnol;0.0;0.0;0.0;89;18;mai;2023;soso;0
Petite Fleur;Comédie;Thriller;Santiago Mitre;Melvil Poupaud;Daniel Hendler;Vimala Pons;3,1;2.6;Santiago Mitre;France;KMBO;Français;3.0;7.0;2.0;98;8;juin;2022;soso;0
Petite leçon d’amour;Comédie;Romance;Eve Deboise;Laetitia Dosch;Pierre Deladonchamps;Paul Kircher;2,6;2.7;Eve Deboise;France;KMBO;Français;2.0;1.0;2.0;87;4;mai;2022;soso;0
Petites;Drame;;Julie Lerat-Gersant;Pili Groyne;Romane Bohringer;Victoire Du Bois;3,5;3.9;Julie Lerat-Gersant;France;Haut et Court;Français;0.0;0.0;1.0;90;22;février;2023;good;0
Pilote;Thriller;;Paul Doucet (II);Hugo Becker;Grégory Fitoussi;Eye Haïdara;;2.2;Paul Doucet (II);France;OCS Choc;Français;0.0;0.0;1.0;74;10;mai;2022;soso;0
Pinocchio;Aventure;Comédie;Robert Zemeckis;Tom Hanks;Benjamin Evan Ainsworth;Joseph Gordon-Levitt;2,2;2.0;Robert Zemeckis;U.S.A.;;Anglais;2.0;10.0;0.0;111;8;septembre;2022;bad;6
Pinocchio par Guillermo del Toro;Animation;Fantastique;Guillermo del Toro;Gregory Mann;David Bradley (IV);Ewan McGregor;4,2;4.1;Guillermo del Toro;U.S.A.;;Anglais;12.0;0.0;1.0;117;9;décembre;2022;excellent;7
Pipa;Policier;Thriller;Alejandro Montiel;Luisana Lopilato;Paulina García;Inés Estévez;;1.7;Alejandro Montiel;Barbade;;Espagnol;0.0;0.0;1.0;115;27;juillet;2022;bad;0
Plan 75;Drame;Science Fiction;Chie Hayakawa;Chieko Baishô;Hayato Isomura;Stefanie Arianne;3,2;3.5;Chie Hayakawa;Japon;Eurozoom;Japonais;1.0;0.0;0.0;112;7;septembre;2022;good;8
Plan A Plan B;Comédie;Romance;Shashanka Ghosh;Riteish Deshmukh;Tamannaah Bhatia;Poonam Dhillon;;2.9;Rajat Arora;Inde;;Hindi;0.0;0.0;0.0;105;30;septembre;2022;soso;0
Plancha;Comédie;;Eric Lavaine;Lambert Wilson;Franck Dubosc;Guillaume De Tonquédec;2,1;2.4;Eric Lavaine;France;StudioCanal;Français;6.0;1.0;4.0;98;26;octobre;2022;soso;0
Please Baby Please;Romance;Thriller;Amanda Kramer;Andrea Riseborough;Harry Melling;Demi Moore;;2.7;Amanda Kramer;U.S.A.;;Anglais;0.0;1.0;0.0;95;31;mars;2023;soso;0
Plus que jamais;Drame;;Emily Atef;Vicky Krieps;Gaspard Ulliel;Bjorn Floberg;3,7;3.6;Emily Atef;France;Jour2fête;Français;1.0;1.0;4.0;123;16;novembre;2022;good;6
Poikkal Kudhirai;Action;;Santhosh P. Jayakumar;Prabhu Deva;Prakash Raj;Varalaxmi Sarathkumar;;3.0;Santhosh P. Jayakumar;Inde;Night ed films;Tamoul;0.0;0.0;0.0;150;5;août;2022;soso;0
Poker Face;Thriller;;Russell Crowe;Russell Crowe;Elsa Pataky;Liam Hemsworth;;1.8;Stephen M. Coates;U.S.A.;;Anglais;5.0;5.0;1.0;94;1;avril;2023;bad;0
Ponniyin Selvan - part 1;Action;Drame;Mani Ratnam;Vikram;Karthi;Jayam Ravi;;3.6;Mani Ratnam;Inde;Night ed films;Hindi;1.0;0.0;0.0;167;30;septembre;2022;good;0
Possessed;Action;Epouvante-horreur;James Lee;Alif Satar;Ikmal Amry;Abbas Mahmood;;2.9;;Malaisie;;Malais;0.0;0.0;0.0;94;17;mars;2023;soso;0
Pour le meilleur et pour de faux;Comédie;Romance;Cris D'Amato;Caio Castro;Danielle Winits;Bruna Louise;;2.3;Luanna Guimarães;Brésil;;Portugais;0.0;0.0;0.0;107;13;octobre;2022;soso;0
Pour toi;Comédie;Drame;Barbara Ott;Caro Cult;Nina Gummich;Steven Sowah;;2.4;Stefanie Ren;Allemagne;;Allemand;0.0;0.0;0.0;90;11;juillet;2022;soso;0
Presque;Comédie;Drame;Bernard Campan;Bernard Campan;Alexandre Jollien;Tiphaine Daviot;3,5;4.1;Hélène Grémillon;France;Apollo Films;Français;1.0;1.0;0.0;92;26;janvier;2022;excellent;1
Prey;Action;Science Fiction;Dan Trachtenberg;Amber Midthunder;Dakota Beavers;Dane DiLiegro;3,6;3.5;Patrick Aison;U.S.A.;;Anglais;1.0;0.0;0.0;99;5;août;2022;good;0
Prince;Comédie;Romance;Anudeep K V;Sivakarthikeyan;Maria Ryaboshapka;Sathyaraj;;2.9;Anudeep K V;Inde;Night ed films;Tamoul;0.0;0.0;0.0;143;21;octobre;2022;soso;0
Prison 77;Drame;;Alberto Rodriguez;Miguel Herrán;Javier Gutiérrez;Jesús Carroza;;3.3;Alberto Rodriguez;Espagne;;Espagnol;7.0;1.0;2.0;125;25;mai;2023;good;0
Prisonnières du Désert;Drame;Thriller;Chris Cullari;Malin Åkerman;Lorenza Izzo;Chris Messina;;2.3;Chris Cullari;U.S.A.;;Anglais;0.0;0.0;0.0;96;31;août;2022;soso;0
Prithviraj;Action;Biopic;Chandra Prakash Dwivedi;Akshay Kumar;Sanjay Dutt;Nalneesh Neel;;3.0;Chandra Prakash Dwivedi;Inde;Desi Entertainment Paris;Hindi;0.0;0.0;0.0;150;3;juin;2022;soso;0
Projet Wolf Hunting;Action;Epouvante-horreur;Hong-seon Kim;Seo In-guk;Dong-Yoon Jang;Jung So-min;2,9;2.8;Hong-seon Kim;Corée du Sud;ESC Films;Coréen;0.0;0.0;0.0;121;15;février;2023;soso;1
Pulse;Drame;Thriller;Aino Suni;Elsi Sloan;Carmen Kassovitz;Lucille Guillaume;2,8;2.5;Aino Suni;France;Wayna Pitch;Anglais;0.0;0.0;0.0;103;22;février;2023;soso;0
Qala;Drame;Historique;Anvita Dutt;Tripti Dimri;Babil Khan;Swastika Mukherjee;;3.3;Anvita Dutt;Inde;;Hindi;0.0;0.0;0.0;119;1;décembre;2022;good;0
Qorin;Epouvante-horreur;;Ginanti Rona;Zulfa Maharani;Omar Daniel;Aghniny Haque;;2.5;;Indonésie;;Indonésien;0.0;0.0;0.0;109;14;avril;2023;soso;0
Quasi;Comédie;;Kevin Heffernan;Brian Cox;Steve Lemme;Jay Chandrasekhar;;1.8;Jay Chandrasekhar;U.S.A.;;Anglais;0.0;1.0;0.0;100;20;avril;2023;bad;0
Quatorze jours;Drame;;Ivan Cotroneo;Carlotta Natoli;Thomas Trabacchi;;;2.7;Ivan Cotroneo;Italie;;Italien;2.0;0.0;0.0;100;24;mars;2023;soso;0
Quatre moitiés;Comédie;Romance;Alessio Maria Federici;Ilenia Pastorelli;Matilde Gioli;Giuseppe Maggio;;2.8;Martino Coli;Italie;;Italien;0.0;1.0;0.0;90;5;janvier;2022;soso;0
Quitte pour la peur;Comédie dramatique;Historique;Bruno François-Boucher;Ségolène Point;Eric Beslay;François Le Roux (II);;3.1;Bruno François-Boucher;France;Bon Voyage Films;Français;0.0;0.0;0.0;62;25;janvier;2023;good;0
R.M.N.;Drame;;Cristian Mungiu;Marin Grigore;Judith State;Macrina Bârlădeanu;3,9;3.8;Cristian Mungiu;Roumanie;Le Pacte;Roumain;6.0;0.0;0.0;125;19;octobre;2022;good;8
Rabiye Kurnaz contre George W. Bush;Biopic;Drame;Andreas Dresen;Meltem Kaptan;Alexander Scheer;Charly Hübner;2,8;2.8;Laila Stieler;Allemagne;Shellac;Allemand;5.0;0.0;0.0;119;21;décembre;2022;soso;10
Radio Metronom;Drame;;Alexandru Belc;Mara Bugarin;Şerban Lazarovici;Vlad Ivanov;3,6;3.1;Alexandru Belc;Roumanie;Pyramide Distribution;Roumain;0.0;0.0;0.0;102;4;janvier;2023;good;8
Rainbow;Comédie;Drame;Paco León;Ester Expósito;Rossy de Palma;Carmen Maura;;2.3;Paco León;Espagne;;Espagnol;1.0;0.0;1.0;117;30;septembre;2022;soso;0
Raksha Bandhan;Comédie;Drame;Aanand Rai;Akshay Kumar;Bhumi Pednekar;Sahil Mehta;;2.6;Himanshu Sharma;Inde;Night ed films;Hindi;0.0;0.0;0.0;150;11;août;2022;soso;0
Ram Setu;Action;Aventure;Abhishek Sharma;Akshay Kumar;Jacqueline Fernandez;Nushrat Bharucha;;2.6;Abhishek Sharma;Inde;Night ed films;Hindi;0.0;0.0;0.0;143;26;octobre;2022;soso;0
Ramona fait son cinéma;Comédie;Romance;Andrea Bagney;Lourdes Hernández;Bruno Lastra;Francesco Carril;2,7;2.9;Andrea Bagney;Espagne;UFO Distribution;Espagnol;0.0;0.0;0.0;80;17;mai;2023;soso;0
Ray Donovan Le film;Policier;Drame;David Hollander;Liev Schreiber;Eddie Marsan;Dash Mihok;;2.9;David Hollander;U.S.A.;Canal +;Anglais;0.0;10.0;1.0;90;19;janvier;2022;soso;1
Raymond & Ray;Drame;;Rodrigo García;Ewan McGregor;Ethan Hawke;Maribel Verdú;2,3;2.7;Rodrigo García;U.S.A.;;Anglais;2.0;4.0;11.0;100;21;octobre;2022;soso;0
Rebel;Action;Drame;Adil El Arbi;Aboubakr Bensaihi;Lubna Azabal;Tara Abboud;2,6;3.9;Adil El Arbi;Belgique;Bac Films;Français;0.0;0.0;2.0;135;31;août;2022;good;1
Rebelles;Action;Thriller;Eamon O'Rourke;Kiersey Clemons;Vanessa Hudgens;Alexandra Shipp;;1.7;Eamon O'Rourke;U.S.A.;;Anglais;0.0;0.0;3.0;97;11;juillet;2022;bad;0
Rejoins-moi pour Noël;Romance;;Meeshelle Neal;Corey Sevier;Emily Alatalo;Vanessa Smythe;;3.3;Erica Deutschman;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;15;novembre;2022;good;0
Rendez-vous au mariage !;Romance;;Samantha Wan;Natalie Hall;Corey Sevier;Julia Borsellino;;3.0;J.B. White;U.S.A.;TF1;Anglais;0.0;0.0;0.0;83;15;février;2023;soso;0
Rendez-vous avec le crime;Policier;;Méliane Marcaggi;Arié Elmaleh;Sophie de Fürst;Gaëlle Bona;;2.9;Laurent Burtin;France;France 3;Français;1.0;2.0;0.0;90;20;décembre;2022;soso;0
Reste la vie;Drame;;Ketche;Aslı Enver;Kaan Urgancıoğlu;;;3.4;Hakan Bonomo;Turquie;;Turc;0.0;0.0;0.0;104;21;mars;2022;good;0
Reste un peu;Comédie;;Gad Elmaleh;Gad Elmaleh;Régine Elmaleh;David Elmaleh;3,7;3.3;Gad Elmaleh;France;StudioCanal;Français;1.0;1.0;0.0;93;16;novembre;2022;good;1
Resurrection;Policier;Epouvante-horreur;Andrew Semans;Rebecca Hall;Tim Roth;Grace Kaufman;;1.9;Andrew Semans;U.S.A.;;Anglais;0.0;3.0;1.0;103;21;novembre;2022;bad;0
Retour à Séoul;Drame;;Davy Chou;Park Ji-min (II);Oh Kwang-rok;Guka Han;3,6;3.3;Davy Chou;France;Les Films du Losange;Coréen;2.0;0.0;0.0;119;25;janvier;2023;good;7
Revoir Paris;Drame;;Alice Winocour;Virginie Efira;Benoît Magimel;Grégoire Colin;4,0;4.0;Alice Winocour;France;Pathé;Français;3.0;2.0;2.0;105;7;septembre;2022;good;4
Rien n'est impossible;Comédie;Romance;Billy Porter;Eva Reign;Abubakr Ali;Courtnee Carter;;2.2;Ximena García Lecuona;U.S.A.;;Anglais;1.0;0.0;0.0;96;22;juillet;2022;soso;0
Rifkin's Festival;Comédie;Romance;Woody Allen;Wallace Shawn;Elena Anaya;Gina Gershon;3,0;2.7;Woody Allen;U.S.A.;Apollo Films;Anglais;23.0;0.0;1.0;92;13;juillet;2022;soso;0
Rimini;Comédie;Drame;Ulrich Seidl;Michael Thomas;Tessa Göttlicher;Hans-Michael Rehberg;2,9;3.2;Ulrich Seidl;Autriche;Damned Distribution;Allemand;2.0;0.0;0.0;114;23;novembre;2022;good;9
